Date,Category,Net worth,Assets,Real estate,Consumer durables,Corporate equities and mutual fund shares,DB pension entitlements,DC pension entitlements,Private businesses,Other assets,Liabilities,Home mortgages,Consumer credit,Other liabilities
2002:Q3,Bottom50,1309370,3877433,2054464,785251,85926,211640,183410,75195,481546,2568062,1526679,1006132,35251
2002:Q4,TopPt1,3916830,3954196,505567,185873,991114,25635,32141,1016525,1197340,37365,26368,4316,6681
2002:Q4,RemainingTop1,6945989,7367573,1615709,342287,1625940,223982,294674,1581764,1683218,421584,290472,23692,107420
2002:Q4,Next9,15513590,16893495,4386768,708312,2355640,3670128,1318415,1546502,2907730,1379905,1108159,164551,107195
2002:Q4,Next40,15856906,19731640,7503915,1501161,1306614,3998620,1419406,1059308,2942616,3874735,3031618,776574,66543
2002:Q4,Bottom50,1308355,3944346,2109439,788571,87252,211341,188277,74541,484926,2635992,1574511,1027874,33607
2003:Q1,TopPt1,3895215,3935477,521660,207467,935981,25869,31930,1046996,1165574,40262,27708,4634,7920
2003:Q1,RemainingTop1,6938458,7374868,1678469,330480,1524509,215235,293905,1631841,1700430,436411,300058,24912,111441
2003:Q1,Next9,15642068,17036880,4510995,710094,2211663,3724965,1333721,1574839,2970602,1394812,1117731,164306,112775
2003:Q1,Next40,15951495,19936132,7665619,1510661,1237236,4018462,1428996,1091345,2983813,3984637,3143855,771234,69548
2003:Q1,Bottom50,1281936,3957478,2123952,790891,80107,210744,186845,76149,488790,2675543,1615980,1024037,35526
2003:Q2,TopPt1,4200099,4246340,536315,221306,1177214,26201,37129,1060217,1187957,46241,29698,5083,11460
2003:Q2,RemainingTop1,7380116,7820243,1738253,321036,1847441,207042,314781,1674110,1717580,440127,312018,25840,102269
2003:Q2,Next9,16332469,17819469,4617673,721844,2582027,3793298,1461083,1585306,3058237,1487000,1158660,167242,161098
2003:Q2,Next40,16354868,20524671,7845717,1526048,1381819,4051017,1572139,1121882,3026049,4169803,3281993,784017,103793
2003:Q2,Bottom50,1255350,4024553,2161359,795859,88358,210294,201676,77353,489653,2769203,1681131,1039748,48324
2003:Q3,TopPt1,4296612,4344852,548739,224398,1288199,26492,38047,1071303,1147675,48240,32041,5713,10486
2003:Q3,RemainingTop1,7579190,8039040,1792862,314090,1978413,198444,318552,1715543,1721136,459850,323499,26488,109863
2003:Q3,Next9,16642516,18172498,4697701,745303,2713435,3855717,1502248,1593428,3064665,1529982,1216372,170773,142837
2003:Q3,Next40,16584610,20880350,8045117,1545560,1422789,4077619,1610809,1152420,3026036,4295740,3406391,800406,88943
2003:Q3,Bottom50,1269250,4098523,2227884,801521,88902,209757,203635,78510,488314,2829273,1729560,1056294,43419
2003:Q4,TopPt1,4588823,4644353,563091,233084,1514071,26831,42850,1094005,1170421,55530,33471,6127,15932
2003:Q4,RemainingTop1,7993303,8493473,1853406,306394,2264405,190072,337177,1762521,1779499,500170,334101,27447,138622
2003:Q4,Next9,17351328,18878724,4800316,763958,3018390,3924849,1624816,1613322,3133072,1527395,1229772,174443,123180
2003:Q4,Next40,17028716,21456693,8249007,1565516,1524877,4110403,1745182,1184349,3077359,4427977,3533051,817245,77681
2003:Q4,Bottom50,1279162,4183437,2283318,808713,93737,209278,216863,79945,491582,2904274,1784479,1077670,42125
