Date,Category,Assets,Nonfinancial assets,Real estate,Consumer durables,Financial assets,Deposits,Money market fund shares,Debt securities,U.S. government and municipal securities,Corporate and foreign bonds,Loans (Assets),Other loans and advances (Assets),Mortgages,Corporate equities and mutual fund shares,Life insurance reserves,Annuities,DC pension entitlements,DB pension entitlements,Equity in noncorporate business,Miscellaneous assets,Liabilities,Loans (Liabilities),Home mortgages,Consumer credit,Depository institutions loans n.e.c.,Other loans and advances (Liabilities),Deferred and unpaid life insurance premiums,Net worth,Household count,Minimum Wealth Cutoff
1996:Q4,Next9,11216073,2884871,2339534,545337,8331202,959503,264062,535233,407024,128208,75461,35811,39649,1796077,150505,257687,631830,2430999,1155807,74037,839023,834513,656290,108636,2538,67050,4510,10377050,9032420,
1996:Q4,Next40,12966867,5331853,4228530,1103322,7635014,1234713,127096,266094,196912,69181,31096,9537,21559,860815,296981,289425,774808,2952056,649522,152406,2185359,2176527,1640113,467752,9003,59660,8832,10781507,40193062,
1996:Q4,Bottom50,2937921,2031471,1412903,618569,906450,184861,9244,28623,24960,3663,3568,861,2707,89698,77472,16009,158435,194066,74966,69506,1838794,1836443,1079218,683017,4911,69297,2351,1099127,50228757,
1997:Q1,TopPt1,3492189,433919,254868,179051,3058270,178292,87685,705480,512126,193354,85645,73256,12389,1058071,23642,975,32630,14863,863067,7920,49600,49053,20146,2574,2624,23708,547,3442589,103802,
1997:Q1,RemainingTop1,5008814,855937,672057,183880,4152877,334020,168228,486019,377880,108139,86123,63294,22829,1523111,59445,15728,235714,151795,1071425,21270,198098,196125,145206,12510,2505,35905,1973,4810715,902647,
1997:Q1,Next9,11367523,2928954,2377219,551736,8438569,955364,280188,514792,391233,123559,73637,34963,38674,1818103,157322,264594,622195,2465984,1211174,75216,860211,855571,669995,109601,3635,72340,4640,10507312,9057263,
1997:Q1,Next40,13100675,5381986,4262364,1119621,7718690,1248994,136672,235942,186590,49352,30531,8985,21546,886384,303221,292059,787800,2979336,663654,154097,2210355,2201466,1671053,456630,13241,60541,8889,10890320,40314169,
1997:Q1,Bottom50,2946272,2028708,1405895,622813,917564,187676,9467,26550,23906,2644,3424,763,2661,92380,78127,15946,159078,196660,78449,69808,1822314,1819974,1074072,672859,6442,66600,2341,1123957,50377688,
1997:Q2,TopPt1,3680055,429514,258029,171485,3250542,177502,81746,700780,503105,197675,90378,79247,11131,1250388,23498,1038,37814,16171,863251,7976,53439,52921,21058,2799,3104,25960,518,3626616,104577,
1997:Q2,RemainingTop1,5279083,869978,685763,184215,4409105,333944,159752,496069,383564,112505,89914,66778,23137,1746859,59791,16986,255397,158364,1070628,21400,201364,199455,147416,12747,2518,36774,1908,5077720,904737,
1997:Q2,Next9,11856429,2967265,2404339,562926,8889164,954077,282023,518170,389238,128932,79316,41529,37787,2097572,165813,289301,678312,2509944,1238218,76417,888218,883448,685211,113973,4209,80055,4769,10968211,9082181,
1997:Q2,Next40,13479076,5451625,4322672,1128952,8027452,1264953,141479,235780,182891,52889,32353,10775,21577,995562,311165,304349,893273,3015132,677574,155832,2257246,2248299,1705417,464354,15381,63148,8947,11221830,40435780,
1997:Q2,Bottom50,2991954,2042218,1422755,619463,949736,190726,9044,25870,22935,2935,3363,741,2622,103709,79065,16148,170877,199361,81446,70128,1830714,1828384,1072821,684166,6953,64444,2330,1161240,50527358,
1997:Q3,TopPt1,3807999,425046,260921,164125,3382953,177642,83553,700728,497135,203593,87647,77797,9850,1364480,23281,1089,42213,17474,876769,8078,55991,55502,22149,3012,1942,28398,490,3752008,105313,
1997:Q3,RemainingTop1,5461619,884160,698500,185660,4577459,335698,164686,508122,390065,118058,91434,67952,23482,1865679,59966,18061,272469,164861,1074821,21662,203646,201803,150596,13004,1598,36605,1843,5257973,906884,
1997:Q3,Next9,12238945,3005404,2429050,576354,9233541,956332,294604,524635,389773,134862,81191,44237,36954,2265977,174161,307367,721283,2551715,1278204,78072,927109,922209,709487,118590,2484,91648,4900,11311837,9107204,
