Date,Category,Net worth,Assets,Real estate,Consumer durables,Corporate equities and mutual fund shares,DB pension entitlements,DC pension entitlements,Private businesses,Other assets,Liabilities,Home mortgages,Consumer credit,Other liabilities,share
1996:Q3,pct60to80,17.2,18.5,21.9,22.9,11.2,25.9,20.4,10.7,15.1,26.2,26.7,27.4,14.2,20.398626037474386
1996:Q3,pct40to60,10.8,11.3,14,15.4,5.5,15.2,8.8,6.7,10.6,14.3,12.8,20.6,6,8.758184650449477
1996:Q3,pct20to40,7.7,7.7,10.6,10,3.7,8.6,3.1,4.4,8.7,7.9,6.5,12.2,6.7,3.1413600870944642
1996:Q3,pct00to20,3.8,3.7,5.7,4.9,1.2,3.2,1.1,4.4,3.7,3.3,2.3,6.5,1.9,1.0849282708112482
1996:Q4,pct99to100,18.8,17,9,10.2,32.8,2.5,10.7,30.6,24.2,5.9,5.9,1.4,26.4,10.71704445015395
1996:Q4,pct80to99,42.2,42.2,39.5,36.5,45.8,44.3,55.6,43.8,37.9,42.3,45.8,31.5,46.3,55.55184160615562
1996:Q4,pct60to80,17.1,18.5,21.8,22.8,11.1,26.4,21,10.5,15,26.3,26.8,27.8,14.3,21.008661539753533
1996:Q4,pct40to60,10.6,11.1,13.8,15.3,5.5,15.1,8.8,6.7,10.5,14.4,12.8,20.7,5.3,8.787218138263684
1996:Q4,pct20to40,7.5,7.6,10.4,10.1,3.7,8.6,3,4.3,8.7,7.9,6.5,12.3,6,2.9946627221198114
1996:Q4,pct00to20,3.7,3.7,5.5,5,1.2,3.2,0.9,4.1,3.7,3.2,2.2,6.2,1.7,0.9405715435534016
1997:Q1,pct99to100,18.7,16.9,9.2,10.2,32.5,2.6,10.5,30.9,24,6,5.9,1.4,26.5,10.464594950542214
1997:Q1,pct80to99,42.3,42.3,39.6,36.6,46.1,43.9,55.5,44.1,37.8,42.4,45.8,31.7,46.5,55.544818594347255
1997:Q1,pct60to80,17.2,18.5,21.7,22.7,11.1,26.9,21.4,10.3,15.1,26.2,26.8,27.6,14.6,21.407573032855925
1997:Q1,pct40to60,10.6,11.1,13.8,15.3,5.5,15,8.8,6.7,10.4,14.4,12.9,20.7,5.4,8.765673445100292
1997:Q1,pct20to40,7.6,7.6,10.3,10.2,3.7,8.6,2.9,4.3,8.9,7.7,6.4,11.9,5.4,2.904995887446244
1997:Q1,pct00to20,3.7,3.6,5.4,5.1,1.2,3.2,0.9,3.8,3.8,3.3,2.2,6.7,1.7,0.9123440897080664
1997:Q2,pct99to100,19.1,17.3,9.1,9.9,33.9,2.6,10.3,30.6,23.8,6.1,5.9,1.4,26.9,10.255472602726869
1997:Q2,pct80to99,42.3,42.3,39.5,36.8,45.5,43.5,55.2,44.4,37.9,42.3,45.8,31.5,47.1,55.22184197830294
